Fecha;IPC_NG_base _2014;IPC_Nucleo_base_2014;Base monetaria (M0), saldos a fin de mes en millones de pesos;M2_Total_mill de pesos;M2_moneda_nacional;M2_moneda_extranjera;M3;M3_moneda_nacional;M3_moneda_extranjera;M3_Total;M3_total_pesos;M3_total_moneda_extranjera;Pases_Pasivos;Leliq_Notaliq;Lebac_Nobac_Legar_Lemin;TCN;emae_des;emae_orig
2002-01;16;;15354 ;41744;34590;7154;84593;68907;15686;84983;69101;15882;;;;;;
2002-02;17;;20719 ;42461;42135;326;83781;82943;837;84250;83386;864;;;;;;
2002-03;18;;20462 ;37757;37686;71;81462;80753;709;81776;81037;738;;;;2;;
2002-04;20;;21279 ;36710;36603;107;75941;74756;1185;76239;75028;1211;;;;3;;
2002-05;21;;20782 ;36673;36535;137;76062;74601;1462;76433;74939;1494;;;;3;;
2002-06;21;;20189 ;36093;35720;373;75534;73609;1925;75886;73932;1955;;;;4;;
2002-07;23;;20520 ;35415;34969;447;73854;71622;2232;74145;71903;2242;;;;4;;
2002-08;23;;21283 ;35167;34593;575;75414;72888;2526;75604;73073;2531;;;;4;;
2002-09;24;;22608 ;35157;34523;633;77833;75162;2670;78024;75350;2674;;;;4;;
2002-10;24;;24402 ;35915;35276;639;79625;76919;2706;79855;77147;2708;;;;4;;
2002-11;24;;26363 ;38057;37369;688;82659;79772;2887;82951;80051;2901;;;;4;;
2002-12;24;;29151 ;40641;40023;617;83851;81099;2752;84107;81322;2785;;;;3;;
2003-01;25;;29492 ;40054;39354;700;85409;82541;2868;85666;82772;2894;;;4729;3;;
2003-02;25;;30164 ;40479;39540;939;87506;84289;3217;87698;84455;3243;;;4868;3;;
2003-03;25;;30667 ;40332;39339;994;88185;85071;3114;88377;85240;3138;;;4981;3;;
2003-04;25;;31475 ;41472;40499;973;90875;87775;3099;91115;87993;3122;;;5220;3;;
2003-05;25;;34149 ;44680;43509;1171;95830;92196;3634;96191;92534;3657;;;5862;3;;
